shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
BeautyMarket,Shopify,Maquillage,Ongles,,BETER LIME A ONGLES FIBRE DE VERRE 24962,29.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-lime-a-ongles-fibre-de-verre-24962,1,0,0.9561,0.0,0.539,1,3.4011973816621555,low-cost,0,14,0,4,Low-cost,-1.7693377992777122,1.0080663694353165,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE DE SOJA – 50 ML,37.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-de-soja-50-ml,1,0,0.9552,0.0,0.5388,1,3.6375861597263857,low-cost,0,5,0,4,Low-cost,-1.854105197397098,0.7954970875123453,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE DE TOURNESOL – 50 ML,37.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-de-tournesol-50-ml,1,0,0.9552,0.0,0.5388,1,3.6375861597263857,low-cost,0,5,0,4,Low-cost,-1.854105197397098,0.7954970875123453,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE D’AMANDES DOUCES – 50 ML,37.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-d-amandes-douces-50-ml,1,0,0.9552,0.0,0.5388,1,3.6375861597263857,low-cost,0,5,0,4,Low-cost,-1.854105197397098,0.7954970875123453,0
BeautyMarket,Shopify,Corps,Gel Douche,,LAINO GEL DOUCHE HYDRATANT PULPE DE FIGUE BIO – 200 ML,54.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/laino-gel-douche-hydratant-pulpe-de-figue-bio-200-ml,1,0,0.9551,0.0,0.5388,1,4.007333185232471,low-cost,0,6,0,4,Low-cost,-1.66554626395991,0.5535491571008107,0
BeautyMarket,Shopify,Corps,Gel Douche,,LAINO GEL DOUCHE HYDRATANT PULPE DE FRUITS ROUGES BIO – 200 ML,54.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/laino-gel-douche-hydratant-pulpe-de-fruits-rouges-bio-200-ml,1,0,0.9551,0.0,0.5388,1,4.007333185232471,low-cost,0,6,0,4,Low-cost,-1.66554626395991,0.5535491571008107,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,RITUELESSENCE HUILE DE RICIN 50ML,38.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/rituelessence-huile-de-ricin-50ml,1,0,0.9526,0.0,0.5382,1,3.6635616461296463,low-cost,0,5,0,4,Low-cost,-1.8441849663785304,0.7757895313796653,0
BeautyMarket,Shopify,Cheveux,Shampoing Sec,,RACINE VITA HUILE DE COCO 40ML,38.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/racine-vita-huile-de-coco-40ml,1,0,0.9526,0.0,0.5382,1,3.6635616461296463,low-cost,0,5,0,4,Low-cost,-1.8441849663785304,0.7757895313796653,0
BeautyMarket,Shopify,Cheveux,Brosses Et Accessoires,,"BETER HAIRSTYLE CHOUCHOU ÉLASTIQUE AVEC NOUD, 6 PIÈCES 19224",38.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-hairstyle-chouchou-elastique-avec-noud-6-pieces-19224,1,0,0.9526,0.0,0.5382,1,3.6635616461296463,low-cost,0,5,0,4,Low-cost,-1.8441849663785304,0.7757895313796653,0
Kiabi,Shopify,Garçon,Garçon,,Short En Molleton Léger,60.0,0.0,,En stock,Non,0.0,,1,0,0.9521,0.0,0.538,1,4.110873864173311,low-cost,2,10,0,4,Low-cost,-0.729197155694474,0.3218389538758517,0
Kiabi,Shopify,Garçon,Garçon,,T-Shirt Loose,60.0,0.0,,En stock,Non,0.0,,1,0,0.9521,0.0,0.538,1,4.110873864173311,low-cost,2,10,0,4,Low-cost,-0.729197155694474,0.3218389538758517,0
Kiabi,Shopify,Garçon,Garçon,,T-Shirt Manches Courtes À Motif,60.0,0.0,,En stock,Non,0.0,,1,0,0.9521,0.0,0.538,1,4.110873864173311,low-cost,2,10,0,4,Low-cost,-0.729197155694474,0.3218389538758517,0
BeautyMarket,Shopify,Maquillage,Ongles,,BETER LIME DE PEDICURE POUR DURILLONS EN FIBRE VERRE 08152,35.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-lime-de-pedicure-pour-durillons-en-fibre-verre-08152,1,0,0.9518,0.0,0.5379,1,3.58351893845611,low-cost,0,14,0,4,Low-cost,-1.6901947335276852,0.8816347710096538,0
BeautyMarket,Shopify,Maquillage,Outils Et Accessoires De Beaute,,PASTEL FOUNDATION SPONGE Q-SOFT,35.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/pastel-foundation-sponge-q-soft,1,0,0.9518,0.0,0.5379,1,3.58351893845611,low-cost,0,14,0,4,Low-cost,-1.6901947335276852,0.8816347710096538,0
BeautyMarket,Shopify,Maquillage,Ongles,,BETER BROSSE DOUBLE À ONGLE 24091,35.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-brosse-double-a-ongle-24091,1,0,0.9518,0.0,0.5379,1,3.58351893845611,low-cost,0,14,0,4,Low-cost,-1.6901947335276852,0.8816347710096538,0
BeautyMarket,Shopify,Corps,Nettoyant Corps,,ROGÉ CAVAILLÈS SAVON SURGRAS AMANDE VERTE – 250 G,55.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/roge-cavailles-savon-surgras-amande-verte-250-g,1,0,0.9514,0.0,0.5378,1,4.02535169073515,low-cost,0,6,0,4,Low-cost,-1.6604498249863164,0.537646584146237,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,RACINE VITA HUILE DE FENUGREC 40ML,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/racine-vita-huile-de-fenugrec-40ml,1,0,0.95,0.0,0.5375,1,3.688879454113936,low-cost,0,5,0,4,Low-cost,-1.8348681068672708,0.7561405553446017,0
BeautyMarket,Shopify,Cheveux,Shampooing 1,,GARNIER ULTRA DOUX SHAMPOOING AVOCAT & KARITÉ 200ML – NUTRITION INTENSE CHEVEUX SECS,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/garnier-ultra-doux-avocat-karite-200ml,1,0,0.95,0.0,0.5375,1,3.688879454113936,low-cost,0,5,0,4,Low-cost,-1.8348681068672708,0.7561405553446017,0
BeautyMarket,Shopify,Cheveux,Brosses Et Accessoires,,"BETER HAIRSTYLE PINCE À GRIFFES 7,5 CM ÉCAILLE 19238",39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-hairstyle-pince-a-griffes-7-5-cm-ecaille-19238,1,0,0.95,0.0,0.5375,1,3.688879454113936,low-cost,0,5,0,4,Low-cost,-1.8348681068672708,0.7561405553446017,0
BeautyMarket,Shopify,Corps,Hydratant Corps,,AVEENO SKIN RELIEF MOISTURISING HAND CREAM – 75 ML,56.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/aveeno-skin-relief-moisturising-hand-cream-75-ml,1,0,0.9495,0.0,0.5374,1,4.04305126783455,low-cost,0,6,0,4,Low-cost,-1.653663205183394,0.5242517324222039,0
BeautyMarket,Shopify,Solaire,Solaire,,ALPHANOVA DAILY SUN SPF 50+ STICK LEVRE HYDRATANT 4 G,99.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/alphanova-daily-sun-spf-50-stick-levre-hydratant-4-g,1,0,0.9486,0.0,0.5372,1,4.605170185988092,low-cost,0,18,0,0,Mid-range,-1.1450587888167425,0.2177597094263183,0
BeautyMarket,Shopify,Solaire,Solaire,,LCP ACNE CREME SOLAIRE MATIFIANTE SPF50+ 75ML,99.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/lcp-acne-creme-solaire-matifiante-spf50-75ml,1,0,0.9486,0.0,0.5372,1,4.605170185988092,low-cost,0,18,0,0,Mid-range,-1.1450587888167425,0.2177597094263183,0
BeautyMarket,Shopify,Maquillage,Ongles,,PASTEL NAIL POLISH 139,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/pastel-nail-polish-139,1,0,0.9476,0.0,0.5369,1,3.688879454113936,low-cost,0,14,0,4,Low-cost,-1.6455732456552865,0.8071792091977853,0
BeautyMarket,Shopify,Maquillage,Ongles,,BETER COUPE-ONGLES 5.8 AVEC LIME CHROMÉE 24006,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/beter-coupe-ongles-5-8-avec-lime-chromee-24006,1,0,0.9476,0.0,0.5369,1,3.688879454113936,low-cost,0,14,0,4,Low-cost,-1.6455732456552865,0.8071792091977853,0
BeautyMarket,Shopify,Maquillage,Ongles,,PASTEL NAIL POLISH 310,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/pastel-nail-polish-310,1,0,0.9476,0.0,0.5369,1,3.688879454113936,low-cost,0,14,0,4,Low-cost,-1.6455732456552865,0.8071792091977853,0
BeautyMarket,Shopify,Maquillage,Rougir,,PASTEL SHOW YOUR HAPPINESS BLUSH,39.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/pastel-show-your-happiness-blush,1,0,0.9476,0.0,0.5369,1,3.688879454113936,low-cost,0,14,0,4,Low-cost,-1.6455732456552865,0.8071792091977853,0
