shop,categorie,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating
Lasolda,Maison,Hotte Sous Meuble En Inox 6...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,ITIMAT FOUR ÉLECTRIQUE 60L ...,1.500,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Lampe anti-moustique UV 6W ...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Machine à Café Avec Minuteu...,499.00,559.00,11,En stock,Oui,N/A
Lasolda,Maison,Machine à expresso Clatronic,999.00,1.499,N/A,En stock,Oui,N/A
Lasolda,Maison,Machine à Pop-Corn A Air ch...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Machine barbe à papa à gaz ...,2.250,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Machine Cafetière à Express...,1.349,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Machine espresso inox Kenz ...,969.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Machine popcorn à gaz puiss...,2.899,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mélangeur Shaker De Protéin...,159.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Micro Onde 20L 700w,1.049,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Micro-ondes 20L avec grill ...,1.099,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini Blender portables rech...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini Chauffage Malin Express,259.00,329.00,21,En stock,Oui,N/A
Lasolda,Maison,"Mini Climatiseur Mobile , R...",399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini fer à repasser avec Po...,289.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini machine à coudre porta...,320.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini Machine à Pop-Corn Ele...,259.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Mixeur Blender 1 2 3 , 1.5L...",349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur électrique – 1...,459.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant + Fouet 2en1,239.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant 2 in 1 Pla...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant 4 In 1 Inox,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant En Acier I...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeur Electrique,239.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moule A Gâteau Cake Electri...,399.00,699.00,43,En stock,Oui,N/A
Lasolda,Maison,Moulin à Café,169.00,199.00,15,En stock,Oui,N/A
Lasolda,Maison,"Moulin à Café , Épices Lame...",269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moulin A Café Electrique,249.00,299.00,17,En stock,Oui,N/A
Lasolda,Maison,Moulin à café électrique PR...,469.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moulin à Café Et Épices Noi...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moulin Broyeur A Épices Et ...,1.299,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moulin Broyeur A Épices Et ...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Moulin Professionnel A Épi...,459.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Moulinette 1,2,3 + Mixeur ...",249.00,349.00,29,En stock,Oui,N/A
Lasolda,Maison,Organisateur Mural Salle de...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pack Casseroles 5 PCS – Pol...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pack Promotion Friteuse Ele...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pétrin Digital 8L 1800W ave...,1.249,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plancha Electrique XL 70x23...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Planche de Cuisson Electriq...,729.00,780.00,7,En stock,Oui,N/A
Lasolda,Maison,Plaque De Cuisson Encastrab...,1.299,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Encastrab...,1.949,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Encastrab...,1.989,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Encastrab...,1.599,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Gaz En Ve...,1.649,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Gazinière...,649.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque Encastrable 4 Feux E...,1.129,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque Encastrable 5 Feux E...,1.459,1.949,25,En stock,Oui,N/A
Lasolda,Maison,Plaque Réchaud Electrique D...,589.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plateau épices bambou (8 pi...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Poêle A Frire Gril Électriq...,279.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Poêle antiadhésive – 20/24/...,339.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Poêle en granit avec couver...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pot à huile en verre,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Poubelle Blanche Ronde 5L,179.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Presse Agrume Electrique , ...",219.00,399.00,45,En stock,Oui,N/A
Lasolda,Maison,Presse Agrume Electrique De...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Agrumes Electrique A...,359.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Orange Electrique,389.00,450.00,14,En stock,Oui,N/A
Lasolda,Maison,Presse Orange Électrique 1....,169.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Orange Electrique Av...,349.00,369.00,5,En stock,Oui,N/A
Lasolda,Maison,Presse Orange électrique en...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Orange Electrique En...,369.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Oranges Electrique &...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse panini,289.00,399.00,28,En stock,Oui,N/A
Lasolda,Maison,Presse Panini Grill Sandwi...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini 2 En 1 Appare...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini En Granit,579.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini Et Grill Sand...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini Et Toasts Pet...,219.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini Sandwich Gril...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Presse Panini Sandwich Make...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Purificateur eau TATCH 6 ét...,1.399,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Réchaud A Gaz , Plaque De C...",789.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Réchaud Électrique – ...,224.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Réchaud Électrique – ...,169.00,179.00,6,En stock,Oui,N/A
Lasolda,Maison,Réchaud Électrique Silver 1...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Robot 4 en 1 (Blender, Cent...",499.00,699.00,29,En stock,Oui,N/A
Lasolda,Maison,Robot Pétrin Multifonction ...,979.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Robot Pétrin Pâtissier Extr...,1.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Séchoir linge portable élec...,299.00,349.00,14,En stock,Oui,N/A
Lasolda,Maison,Set 3 casseroles granite TA...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Set de 3 moules à charnière...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Siphon à Chantilly 500ml , ...",549.00,599.00,8,En stock,Oui,N/A
Lasolda,Maison,tajine-en aluminium taille–...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,TATCH Blender Incassable Av...,299.00,450.00,34,En stock,Oui,N/A
Lasolda,Maison,TATCH Hachoir électrique à ...,219.00,319.00,31,En stock,Oui,N/A
Lasolda,Maison,TATCH Mixeur Plongeant 4 En 1,269.00,350.00,23,En stock,Oui,N/A
Lasolda,Maison,TATCH Robot Multifonction,359.00,499.00,28,En stock,Oui,N/A
Lasolda,Maison,Thermos inox isotherme avec...,129.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Toaster , Panini , Plancha ...",599.00,800.00,25,En stock,Oui,N/A
Lasolda,Maison,Ventilateur 3 en 1 – Sur Pi...,329.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Ventilateur Carré Posable 3...,249.00,350.00,29,En stock,Oui,N/A
Lasolda,Maison,Ventilateur Colonne Avec Té...,449.00,649.00,31,En stock,Oui,N/A
Lasolda,Maison,Ventilateur pied Schlëizer ...,270.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Ventilateur Schlëizer 3 en ...,349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Verre ELYSIA 35cl – Lot 6 p...,149.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon sur Pied...,369.00,399.00,8,En stock,Oui,N/A
Lasolda,Maison,Barbecue à Charbon Bahia Av...,759.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Boîte À Manger Électrique P...,139.00,179.00,22,En stock,Oui,N/A
Lasolda,Maison,Desserte Spéciale Plancha A...,2.899,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Glacière Et Distributeur D&...,189.00,199.00,5,En stock,Oui,N/A
Lasolda,Maison,Kit à Paella VALENCIA à Gaz...,1.999,2.300,13,En stock,Oui,N/A
Lasolda,Maison,Kits énergie solaire maison...,359.00,399.00,10,En stock,Oui,N/A
Lasolda,Maison,Chaise pliante bleue avec h...,249.00,N/A,N/A,En stock,Non,N/A
